Id,Name,Duration,Type,Places,Budget,ListPlaces,Reference,Description
42,Singapore Tour Package,5,LONG TOUR,27,HIGH,Singapore Education Service Centre - Merlion Park - Esplanade - Raffles landing sites - Capitol Building - supreme court and city hall - statues of sir stamford raffles - school tour - Little India arcade - geylang serai - gem stone factory - art retreat museum - asian civilisation museum - changi chapel and museum - chinatown heritage centre - images of singapore - Singapore Zoo - Night Safari - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Jurong Bird Park - Singapore Science Centre - shopping Orchard - ,http://www.jc-travel.com.sg/prod03.htm,Day1: asian civilisation museum-changi chapel and museum-chinatown heritage centre Day2: Singapore Zoo-Night SafariDay3: Images of Singapore-Underwater WorldDay4: Butterfly_insect_kingdom-Siloso Beach-songs of the sea Day5: Causeway Bridge- Jurong Bird Park- shopping Orchard-,
43,Singapore Tour Package,1,SHORT TOUR,12,LOW,Night Safari - cable car-sentosa - Underwater World - Merlion - Causeway Bridge - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - National Orchid Garden - ,http://www.new-star-tours.com/singapore/singapore.html,Day1: Underwater WorldDay2: Dolphin Lagoon Day3: Singapore Zoo Day4: Merlion-Causeway Bridge,
44,Sand and Sea,1,SHORT TOUR,8,LOW,cable car-sentosa - Underwater World - Dolphin Lagoon - Merlion - Causeway Bridge - Palawan Beach - siloso beach - Tanjong Beach - ,http://www.celestiallinkholidays.com/sentosa.html,Day1: Sentosa- Siloso beach- Sunset at Sentosa,
45,Singapore Tour(3 Nights/4 Days),4,LONG TOUR,13,MEDIUM,Night Safari - supreme court and city hall - parliament house - Stamford Hotel - Mount Faber - cable car-sentosa - Jurong Bird Park - cable car-sentosa - underwater world - Dolphin Lagoon - Images Of Singapore - Songs Of The Sea - Shopping Orchard - ,http://www.tybrosindia.com/malaysia-singapore-tour.html,Day1: Mount Faber- Suntec city mall- China town heritage center- China town night marketDay2: Singapore Zoo- Night SafariDay3: Jurong bird park- ZoukDay 4: Merlion park- Lau pa Sat- Parliament house,
46,City Tour,0.5,SHORT TOUR,6,LOW,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ,http://www.city-discovery.com/singapore/tour.php?id=159,Day: Shopping little india- Chinatown Night Market,
47,Panoramic City Tour,0.5,SHORT TOUR,5,LOW,supreme court and city hall - parliament house - Stamford Hotel - Mount Faber - cable car-sentosa - ,http://www.tybrosindia.com/malaysia-singapore-tour.html,Day: Bumboat River- Shopping Orchard,
48,colonial City tour,0.5,SHORT TOUR,6,LOW,Merlion Park - Esplanade - Raffles landing sites - Capitol Building - supreme court and city hall - statues of sir stamford raffles - ,No referecnces,Day: Parliament House- supreme court and city hall,
49,Sentosa Beaches,0.5,SHORT TOUR,3,LOW,Palawan Beach - siloso beach - Tanjong Beach - ,No referecnces,Day: Sentosa 4D magix- Images of singapore,
50,City Night Life (City),0.5,SHORT TOUR,6,LOW,Zouk - Crazy Elephant - Velvet Underground - China Jump Bar and Grill - Molly Malone's - n.y.d.c. - ,No referecnces,Zouk,
51,Peranakan's experience,0.5,SHORT TOUR,3,LOW,Katong antique house - Katong-Joo chiat - Peranakan museum - ,No referecnces,Museum,
52,Chinatown Tour,0.5,SHORT TOUR,5,LOW,ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - ,No referecnces,ChinaTown,
53,Eastern Heartland tour,0.5,SHORT TOUR,8,LOW,A Kampong Glam Walk - geylang serai - Sultan Mosque - Arab Street - Parliament House - supreme court and city hall - Thian Hock Keng Temple - Bumboat river - ,No referecnces,Eastern Heartland,
54,Sunset at Sentosa,0.5,SHORT TOUR,6,LOW,Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - ,No referecnces,Sentosa,
55,Shopping in Bugis,0.5,SHORT TOUR,2,LOW,Bugis Street - Bugis Junction - ,No referecnces,Bugis,
56,Shopping Orchard,0.5,SHORT TOUR,7,LOW,The Centrepoint - Delfi Orchard - Far East Plaza - Lucky Plaza - Orchard Plaza - Paragon Shopping Centre - Ngee Ann City - ,No referecnces,Orchard,
57,Museums,0.5,SHORT TOUR,6,LOW,gem stone factory - art retreat museum - asian civilisation museum - changi chapel and museum - chinatown heritage centre - images of singapore - ,No referecnces,Peranakan museum,
58,Sentosa Tour,0.5,SHORT TOUR,4,LOW,cable car-sentosa - Underwater World - Merlion - Causeway Bridge - ,No referecnces,Sentosa,
59,foodwalk-spicy-food,1,SHORT TOUR,5,LOW,Joo Chiat Comple - Joo Chiat Place - Haig Road Estate - Duman Road & Koon Seng Road - East Coast Road - ,No referecnces,Little India Arcade,
60,City Tour,1,SHORT TOUR,8,LOW,Cricket club - Parliament House - Supree court and city Hall - Merlion park - Marina Bay - Thian Hock Keng Temple - Handricraft center - Nationa - ,No referecnces,City tour,
61,Sentosa Beaches,1,SHORT TOUR,3,LOW,Palawan Beach - siloso beach - Tanjong Beach - ,No referecnces,Sentosa,
62,City Night Life (City),1,SHORT TOUR,6,LOW,Zouk - Crazy Elephant - Velvet Underground - China Jump Bar and Grill - Molly Malone?s - NYDC - ,No referecnces,Zouk,
63,Panoramic City Tour,1,SHORT TOUR,5,LOW,City Hall - Parliament House - Stamford Hotel - Mount Faber - Cable Car - ,No referecnces,Bus Ride Across City,
64,Peranakan's experience,1,SHORT TOUR,3,LOW,Katong antique house - Katong-Joo chiat - Peranakan museum - ,No referecnces,Museum,
65,Chinatown Tour,1,SHORT TOUR,5,LOW,ChinaTown Heritage Centre - Night Market - Trishaw - Clarke Quay - Scenic Boat trip - ,No referecnces,ChinaTown,
66,Eastern Heartland tour,1,SHORT TOUR,8,LOW,Kampong Glam - Malay village - Sultan Mosque - Arab Street - Parliament House - Supreme Court - City Hall - Thian Hock Keng Temple - ,No referecnces,Eastern Heartland,
67,colonial City tour,1,SHORT TOUR,7,LOW,Merlion Park - Esplanade - Raffles landing sites - Capitol - the High Court - City Hall - the Victoria Theater - ,No referecnces,Colonial tour,
68,Sunset at Sentosa,1,SHORT TOUR,6,LOW,Image of Singapore - Underwater World - Butterfly Park - Siloso Beach - Musical Fountain - Causeway Bridge - ,No referecnces,Sentosa,
69,Shopping in Bugis,1,SHORT TOUR,2,LOW,Bugis Village - Parco Bugis Junction - ,No referecnces,Bugis,
70,Shopping Orchard,1,SHORT TOUR,7,LOW,The Centrepoint - Delfi Orchard - Far East Plaza - Lucky Plaza - Orchard Plaza - Paragon Shopping Centre - Ngee Ann City - ,No referecnces,Orchard,
71,Museum,1,SHORT TOUR,6,LOW,gem store factory - art retreat museum - asian civilisation museum - changi chapel museum - chinatown heritage centre - images of singapore - ,No referecnces,Peranakan museum,
72,Sentosa Tour,1,SHORT TOUR,4,LOW,Cable Car - Underwater Wrold - Merlion Tower - Causeway Bridge - ,No referecnces,Sentosa,
